Title,Salary,Date Posted,Location,Closing Date,Link
Insurance Claims Officer - MotorHidden Company,Not disclosed,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Insurance-Claims-Officer-Motor-196498.aspx
Customer Care - RepresentativeCim Financial Services Ltd,Negotiable,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Customer-Care-Representative-196497.aspx
DELIVERY DRIVERA.E. Patel & Co,Negotiable,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/DELIVERY-DRIVER-196496.aspx
Sales Agent/Showroom DemonstratorsConforama Maurice,Negotiable,07/08/2025,Moka,06/09/2025,https://www.myjob.mu/Jobs/Sales-Agent-Showroom-Demonstrators-196494.aspx
Customer Service OfficerConforama Maurice,Negotiable,07/08/2025,Moka,06/09/2025,https://www.myjob.mu/Jobs/Customer-Service-Officer-196493.aspx
Accounting InternVelogic,Not disclosed,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Accounting-Intern-196492.aspx
H​a​n​d​y​m​a​n​/​H​e​l​p​e​r​Conforama Maurice,Negotiable,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Handyman-Helper-196491.aspx
Accounts OfficerR. Mathieu (Opticians) Ltd,Negotiable,07/08/2025,Plaine Wilhems,06/09/2025,https://www.myjob.mu/Jobs/Accounts-Officer-196488.aspx
Operational Security ManagerRank Interactive Services (Mauritius) Limited,Not disclosed,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Operational-Security-Manager-196489.aspx
Talent AdministratorBolt Talent Solutions (Pty) Ltd,Not disclosed,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Talent-Administrator-196486.aspx
Sales and Admin Coordinator - JMD INT LTDENL,Not disclosed,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Sales-and-Admin-Coordinator-JMD-196485.aspx
SUPPORT COMMERCIAL / PRISE DE RDVInfolegale Maurice Ltée,"21,000 - 30,000",07/08/2025,Moka,06/09/2025,https://www.myjob.mu/Jobs/SUPPORT-COMMERCIAL-PRISE-DE-RDV-196483.aspx
MICE CoordinatorConstance Hospitality Management Ltd,"21,000 - 30,000",07/08/2025,Flacq,06/09/2025,https://www.myjob.mu/Jobs/MICE-Coordinator-196481.aspx
Waiter / Waitress (Astroea Beach Mauritius)Groupe Beau Vallon,Not disclosed,07/08/2025,Grand Port,06/09/2025,https://www.myjob.mu/Jobs/Waiter-Waitress-Astroea-Beach-Mauritius-196477.aspx
E​s​t​i​m​a​t​o​r​ENL,Not disclosed,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Estimator-196475.aspx
Draughtsman- JMD INT LTDENL,Not disclosed,07/08/2025,Port Louis,06/09/2025,https://www.myjob.mu/Jobs/Draughtsman-JMD-INT-LTD-196474.aspx
Legal and Administrative Manager (Head of Mauritius)Bolt Talent Solutions (Pty) Ltd,Not disclosed,07/08/2025,Mauritius,06/09/2025,https://www.myjob.mu/Jobs/Legal-and-Administrative-Manager-Head-196473.aspx
"Compliance , Ethics & Independence Team Leader (RR000250)BDO Solutions Ltd",Negotiable,07/08/2025,Moka,06/09/2025,https://www.myjob.mu/Jobs/Compliance-Ethics-Independence-Team-Leader-196472.aspx
