Title,Salary,Date Posted,Location,Closing Date,Link
Senior – Data AnalyticsCim Financial Services Ltd,Negotiable,19/08/2025,Port Louis,18/09/2025,https://www.myjob.mu/Jobs/Senior-Data-Analytics-197090.aspx
Business Analyst PlanningAVANTOR,Negotiable,19/08/2025,Plaine Wilhems,18/09/2025,https://www.myjob.mu/Jobs/Business-Analyst-Planning-197089.aspx
Senior Finance Business PartnerMedine Ltd Corporate,Not disclosed,19/08/2025,Black River,18/09/2025,https://www.myjob.mu/Jobs/Senior-Finance-Business-Partner-197088.aspx
Junior Quotation and Administrative SupportAVANTOR,Negotiable,19/08/2025,Plaine Wilhems,18/09/2025,https://www.myjob.mu/Jobs/Junior-Quotation-and-Administrative-Support-197087.aspx
International Payroll SpecialistAVANTOR,"41,000 - 50,000",19/08/2025,Moka,18/09/2025,https://www.myjob.mu/Jobs/International-Payroll-Specialist-197086.aspx
Customer Support Specialist (German Speaker)AVANTOR,Negotiable,19/08/2025,Plaine Wilhems,18/09/2025,https://www.myjob.mu/Jobs/Customer-Support-Specialist-German-Speaker-197085.aspx
Associate Order Entry & Quotations-GermanAVANTOR,"21,000 - 30,000",19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/Associate-Order-Entry-Quotations-German-197084.aspx
IT Digital Solution ManagerQuality Beverages Limited,Negotiable,19/08/2025,Plaine Wilhems,18/09/2025,https://www.myjob.mu/Jobs/IT-Digital-Solution-Manager-197082.aspx
Delivery HelperIDECO (Hardy Henry Group),Negotiable,19/08/2025,Moka,18/09/2025,https://www.myjob.mu/Jobs/Delivery-Helper-197081.aspx
Compliance AnalystLINKHAM SERVICES LTD,"31,000 - 40,000",19/08/2025,Port Louis,18/09/2025,https://www.myjob.mu/Jobs/Compliance-Analyst-197080.aspx
ASSISTANT QUANTITY SURVEYOR / QUANTITY SURVEYORD & W Associates Ltd,Negotiable,19/08/2025,Plaine Wilhems,18/09/2025,https://www.myjob.mu/Jobs/ASSISTANT-QUANTITY-SURVEYOR-QUANTITY-SURVEYOR-197079.aspx
IT Sales ExecutiveRA Consulting Services(Pty) Ltd,Not disclosed,19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/IT-Sales-Executive-197078.aspx
Pricing ClerkUdis Ltee,"10,000 - 20,000",19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/Pricing-Clerk-197077.aspx
Caissier / CaissièreUdis Ltee,"10,000 - 20,000",19/08/2025,Pamplemousses,18/09/2025,https://www.myjob.mu/Jobs/Caissier-Caissiere-197076.aspx
Network EngineerRA Consulting Services(Pty) Ltd,Not disclosed,19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/Network-Engineer-197075.aspx
CRM ExecutiveRank Interactive Services (Mauritius) Limited,Negotiable,19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/CRM-Executive-197074.aspx
Pool Steward - Blychem LtdIBL Commercial Engineering,Negotiable,19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/Pool-Steward-Blychem-Ltd-197063.aspx
Head of HRSiegen Consulting Ltd,Not disclosed,19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/Head-of-HR-197072.aspx
HR Coordinator - Expatriate Management (Heritage Resorts)Rogers Hospitality,Not disclosed,19/08/2025,Savanne,18/09/2025,https://www.myjob.mu/Jobs/HR-Coordinator-Expatriate-Management-Heritage-197071.aspx
Stagiaire en Travail Social - Contrat de 3 moisEclosia Corporate Services,Not disclosed,19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/Stagiaire-en-Travail-Social-Contrat-197069.aspx
Leasing OfficerRogers Capital Management Services,Negotiable,19/08/2025,Port Louis,18/09/2025,https://www.myjob.mu/Jobs/Leasing-Officer-197068.aspx
Freelance App PromoterRogers Capital Management Services,See description,19/08/2025,Mauritius,18/09/2025,https://www.myjob.mu/Jobs/Freelance-App-Promoter-197067.aspx
Chargé de Recherche F/HINNOVATIVE KNOWLEDGE CORPORATE SERVICES LTD,Not disclosed,19/08/2025,Plaine Wilhems,18/09/2025,https://www.myjob.mu/Jobs/Charge-de-Recherche-F-H-197065.aspx
Internal ControllerDomino's Pizza,Not disclosed,19/08/2025,Moka,18/09/2025,https://www.myjob.mu/Jobs/Internal-Controller-197064.aspx
Back-End Drupal DeveloperKaldera Ltd,Negotiable,18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Back-End-Drupal-Developer-197062.aspx
Drupal or Php developerELCA,Not disclosed,18/08/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/Drupal-or-Php-developer-197060.aspx
Senior QA EngineerELCA,Not disclosed,18/08/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/Senior-QA-Engineer-197059.aspx
Flutter / Mobile DeveloperELCA,Not disclosed,18/08/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/Flutter-Mobile-Developer-197058.aspx
Java EngineerELCA,Not disclosed,18/08/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/Java-Engineer-197057.aspx
Java EngineerELCA,Not disclosed,18/08/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/Java-Engineer-197056.aspx
QA EngineerELCA,Not disclosed,22/07/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/QA-Engineer-195609.aspx
Senior Python Engineer (B3)ELCA,Not disclosed,18/08/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/Senior-Python-Engineer-B3-197055.aspx
Python Engineer (B2)ELCA,Not disclosed,18/08/2025,Moka,17/10/2025,https://www.myjob.mu/Jobs/Python-Engineer-B2-197054.aspx
Associate EngineerELCA,Not disclosed,18/08/2025,Mauritius,17/10/2025,https://www.myjob.mu/Jobs/Associate-Engineer-197053.aspx
Test Engineer (Automation)ELCA,Not disclosed,18/08/2025,Mauritius,17/10/2025,https://www.myjob.mu/Jobs/Test-Engineer-Automation-197052.aspx
Senior Information Security AnalystELCA,Not disclosed,18/08/2025,Mauritius,17/10/2025,https://www.myjob.mu/Jobs/Senior-Information-Security-Analyst-197051.aspx
Risk ManagerHidden Company,Negotiable,18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Risk-Manager-197050.aspx
Lorry Driver (Tyrexpert)ABC AUTOMOBILE,"10,000 - 20,000",18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Lorry-Driver-Tyrexpert-197049.aspx
Maintenance and Project EngineerHidden Company,Negotiable,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Maintenance-and-Project-Engineer-197048.aspx
Customer Service Agent - FrenchMovate (Mauritius) Ltd,Negotiable,18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Customer-Service-Agent-French-197047.aspx
Production SupervisorHidden Company,Negotiable,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Production-Supervisor-197046.aspx
Site StorekeeperMANSER SAXON CONTRACTING LTD,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Site-Storekeeper-197045.aspx
Laboratory AttendantUBP Ltd,Not disclosed,14/08/2025,Black River,13/09/2025,https://www.myjob.mu/Jobs/Laboratory-Attendant-196846.aspx
Golf AdministratorMauritius Gymkhana Club,Negotiable,18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Golf-Administrator-197043.aspx
Draughtsman (2534-DM)Alentaris Recruitment Ltd,"31,000 - 40,000",18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Draughtsman-2534-DM-197039.aspx
Service Desk Analyst (6-Month FTC)Rank Interactive Services (Mauritius) Limited,Negotiable,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Service-Desk-Analyst-6-Month-197036.aspx
Sales & Relationship AdvisorABC AUTOMOBILE,Negotiable,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Sales-Relationship-Advisor-197035.aspx
Operation Support AssistantABC AUTOMOBILE,"21,000 - 30,000",18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Operation-Support-Assistant-197034.aspx
Accountant - Fund and Corporate ServicesJTC Fiduciary Services (Mauritius) Limited,Negotiable,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Accountant-Fund-and-Corporate-Services-197033.aspx
Workshop Coordinator (ABC Coach Works Ltd)ABC AUTOMOBILE,Not disclosed,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Workshop-Coordinator-ABC-Coach-Works-197032.aspx
Corporate AdministratorJTC Fiduciary Services (Mauritius) Limited,Negotiable,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Corporate-Administrator-197031.aspx
Software developer SrDAYFORCE,Negotiable,18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Software-developer-Sr-197030.aspx
Customer Verification AdministratorRank Interactive Services (Mauritius) Limited,Negotiable,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Customer-Verification-Administrator-197029.aspx
Driver (Van)Hidden Company,"21,000 - 30,000",18/08/2025,Black River,12/09/2025,https://www.myjob.mu/Jobs/Driver-Van-197028.aspx
Human Resources CoordinatorOmnicane Limited,Not disclosed,18/08/2025,Grand Port,17/09/2025,https://www.myjob.mu/Jobs/Human-Resources-Coordinator-197027.aspx
Administrative AssistantOmnicane Limited,Negotiable,18/08/2025,Grand Port,17/09/2025,https://www.myjob.mu/Jobs/Administrative-Assistant-197026.aspx
Front Office Officer - Heritage the VillasHeritage Resorts,Negotiable,18/08/2025,Savanne,17/09/2025,https://www.myjob.mu/Jobs/Front-Office-Officer-Heritage-the-197025.aspx
Transaction Advisory AnalystOmnicane Limited,Not disclosed,18/08/2025,Grand Port,17/09/2025,https://www.myjob.mu/Jobs/Transaction-Advisory-Analyst-197022.aspx
"Manager, Club OneOne&Only Le Saint Geran",Negotiable,18/08/2025,Flacq,17/09/2025,https://www.myjob.mu/Jobs/Manager-Club-One-197021.aspx
Accounts Coordinator (Plastinax Austral Ltd)ENL,Negotiable,18/08/2025,Moka,12/09/2025,https://www.myjob.mu/Jobs/Accounts-Coordinator-Plastinax-Austral-Ltd-197019.aspx
Gestionnaire de Recouvrement  (Credit Controller BtoC)IQera,"10,000 - 20,000",18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Gestionnaire-de-Recouvrement-Credit-Controller-197018.aspx
Assistant Front Office ExecutiveVeranda Tamarin Hotel,Not disclosed,18/08/2025,Black River,17/09/2025,https://www.myjob.mu/Jobs/Assistant-Front-Office-Executive-197013.aspx
Junior Entertainer(Dancer)RIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Junior-Entertainer-Dancer-197012.aspx
Technical EngineerGamma Materials Ltd,"31,000 - 40,000",18/08/2025,Pamplemousses,10/09/2025,https://www.myjob.mu/Jobs/Technical-Engineer-197011.aspx
Chargé de projet RHSEDECO LTD,Not disclosed,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Charge-de-projet-RH-197010.aspx
Check Out OperatorSik Yuen,"10,000 - 20,000",18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Check-Out-Operator-197009.aspx
Supervisor FloorOne&Only Le Saint Geran,"21,000 - 30,000",18/08/2025,Flacq,17/09/2025,https://www.myjob.mu/Jobs/Supervisor-Floor-197008.aspx
"Manager, ResidencesOne&Only Le Saint Geran",Negotiable,18/08/2025,Flacq,17/09/2025,https://www.myjob.mu/Jobs/Manager-Residences-197006.aspx
Invoicing ClerkSik Yuen,"10,000 - 20,000",18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Invoicing-Clerk-197005.aspx
Cluster Assistant General ManagerRIU Hotels & Resorts,Negotiable,18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Cluster-Assistant-General-Manager-197004.aspx
Field Service Technician / Service EngineerHidden Company,"31,000 - 40,000",11/08/2025,Port Louis,11/09/2025,https://www.myjob.mu/Jobs/Field-Service-Technician-Service-Engineer-196591.aspx
Senior Trust and Corporate AdministratorHidden Company,"76,000 - 100,000",11/08/2025,Pamplemousses,08/09/2025,https://www.myjob.mu/Jobs/Senior-Trust-and-Corporate-Administrator-196616.aspx
Sales executive / Sales managerHidden Company,"51,000 - 75,000",12/08/2025,Black River,09/09/2025,https://www.myjob.mu/Jobs/Sales-executive-Sales-manager-196662.aspx
Assist. Gest. Copro & Assoc. FoncièreHidden Company,"31,000 - 40,000",12/08/2025,Black River,12/09/2025,https://www.myjob.mu/Jobs/Assist-Gest-Copro-Assoc-Fonciere-196665.aspx
Human Resource AssistantGamma Materials Ltd,"31,000 - 40,000",18/08/2025,Plaine Wilhems,10/09/2025,https://www.myjob.mu/Jobs/Human-Resource-Assistant-197001.aspx
Driver (Van)Hidden Company,"21,000 - 30,000",15/08/2025,Black River,12/09/2025,https://www.myjob.mu/Jobs/Driver-Van-196890.aspx
Production SupervisorGamma Materials Ltd,"21,000 - 30,000",18/08/2025,Pamplemousses,10/09/2025,https://www.myjob.mu/Jobs/Production-Supervisor-196999.aspx
P​o​r​t​e​r​Tamassa Resort,"10,000 - 20,000",18/08/2025,Savanne,17/09/2025,https://www.myjob.mu/Jobs/Porter-196997.aspx
Junior Receptionist (Telephone Operator)RIU Hotels & Resorts,"10,000 - 20,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Junior-Receptionist-Telephone-Operator-196996.aspx
Bell BoyOUTRIGGER Mauritius Beach Resort,Not disclosed,18/08/2025,Savanne,17/09/2025,https://www.myjob.mu/Jobs/Bell-Boy-196995.aspx
"Manager, FinanceOne&Only Le Saint Geran",Negotiable,18/08/2025,Flacq,12/09/2025,https://www.myjob.mu/Jobs/Manager-Finance-196994.aspx
Kitchen StewardRIU Hotels & Resorts,"10,000 - 20,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Kitchen-Steward-196993.aspx
Digital Marketing Executive - Cernol LtdTAYLOR SMITH GROUP,Not disclosed,18/08/2025,Black River,17/09/2025,https://www.myjob.mu/Jobs/Digital-Marketing-Executive-Cernol-Ltd-196992.aspx
Kitchen Steward - The Address Boutique HotelNinety – Six Hotel Collection,Negotiable,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Kitchen-Steward-The-Address-Boutique-196991.aspx
Chef De Rang (Head Waiter) - The Address Boutique HotelNinety – Six Hotel Collection,"10,000 - 20,000",18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Chef-De-Rang-Head-Waiter-196990.aspx
Receptionist - The Address Boutique HotelNinety – Six Hotel Collection,"21,000 - 30,000",18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Receptionist-The-Address-Boutique-Hotel-196989.aspx
Waiter - The Address Boutique HotelNinety – Six Hotel Collection,"10,000 - 20,000",18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Waiter-The-Address-Boutique-Hotel-196988.aspx
Bar Waiter - The Address Boutique HotelNinety – Six Hotel Collection,"10,000 - 20,000",18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Bar-Waiter-The-Address-Boutique-196987.aspx
Head Bartender - The Address Boutique HotelNinety – Six Hotel Collection,"10,000 - 20,000",18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Head-Bartender-The-Address-Boutique-196986.aspx
Shop Sales AssistantPONCINI,Not disclosed,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Shop-Sales-Assistant-196983.aspx
Office Attendant / HandymanPONCINI,Not disclosed,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Office-Attendant-Handyman-196985.aspx
Shop Sales Assistant - PARURE - Hotel 5 starsPONCINI,Not disclosed,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Shop-Sales-Assistant-PARURE-Hotel-196984.aspx
Night AuditorRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,30/09/2025,https://www.myjob.mu/Jobs/Night-Auditor-196982.aspx
Senior Maintenance TechnicianRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Senior-Maintenance-Technician-196981.aspx
Debt Collector - Cernol LtdTAYLOR SMITH GROUP,Not disclosed,12/08/2025,Black River,11/09/2025,https://www.myjob.mu/Jobs/Debt-Collector-Cernol-Ltd-196683.aspx
Receptionist / Admin AssistantMauritius Gymkhana Club,Negotiable,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Receptionist-Admin-Assistant-196980.aspx
"Manager, IRDOne&Only Le Saint Geran","41,000 - 50,000",18/08/2025,Flacq,12/09/2025,https://www.myjob.mu/Jobs/Manager-IRD-196956.aspx
Cloud EngineerHidden Company,Negotiable,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Cloud-Engineer-196979.aspx
"Supervisor, IRDOne&Only Le Saint Geran","21,000 - 30,000",18/08/2025,Flacq,12/09/2025,https://www.myjob.mu/Jobs/Supervisor-IRD-196957.aspx
Consultant Customer Care (SQL)SD Worx (Mauritius) Limited,Negotiable,18/08/2025,Plaine Wilhems,17/10/2025,https://www.myjob.mu/Jobs/Consultant-Customer-Care-SQL-196978.aspx
"Manager, Sales GCCOne&Only Le Saint Geran","51,000 - 75,000",18/08/2025,Flacq,12/09/2025,https://www.myjob.mu/Jobs/Manager-Sales-GCC-196977.aspx
Power Bi ConsultantHidden Company,Negotiable,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Power-Bi-Consultant-196976.aspx
Room AttendantRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Room-Attendant-196975.aspx
Data EngineerMantu Group (Amaris Consulting),"41,000 - 50,000",18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Data-Engineer-196974.aspx
Senior ReceptionistRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Senior-Receptionist-196973.aspx
IT Young Graduate - Consultant Customer CareSD Worx (Mauritius) Limited,Negotiable,18/08/2025,Plaine Wilhems,17/10/2025,https://www.myjob.mu/Jobs/IT-Young-Graduate-Consultant-Customer-196972.aspx
R​e​c​e​p​t​i​o​n​i​s​t​RIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Receptionist-196971.aspx
Junior ReceptionistRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Junior-Receptionist-196969.aspx
Senior BartenderRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Senior-Bartender-196968.aspx
B​a​r​t​e​n​d​e​r​RIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Bartender-196967.aspx
Intérimaire Logistique Transport InternationalTRACTAFRIC EQUIPMENT INTERNATIONAL,Negotiable,18/08/2025,Plaine Wilhems,17/09/2025,https://www.myjob.mu/Jobs/Interimaire-Logistique-Transport-International-196966.aspx
Junior BartenderRIU Hotels & Resorts,"10,000 - 20,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Junior-Bartender-196965.aspx
Senior Restaurant WaiterRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Senior-Restaurant-Waiter-196964.aspx
Junior WaiterRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Junior-Waiter-196963.aspx
Chef de PartieRIU Hotels & Resorts,"31,000 - 40,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Chef-de-Partie-196962.aspx
Demi Chef de PartieRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Demi-Chef-de-Partie-196961.aspx
Commis IRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Commis-I-196960.aspx
Commis IIRIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Commis-II-196959.aspx
W​a​i​t​e​r​RIU Hotels & Resorts,"21,000 - 30,000",18/08/2025,Black River,17/10/2025,https://www.myjob.mu/Jobs/Waiter-196958.aspx
Dessinateur Projeteur / Modélisateur 3DBolt Talent Solutions (Pty) Ltd,Not disclosed,14/08/2025,Mauritius,13/09/2025,https://www.myjob.mu/Jobs/Dessinateur-Projeteur-Modelisateur-3D-196860.aspx
Associate Director - Shared ServicesBolt Talent Solutions (Pty) Ltd,Not disclosed,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Associate-Director-Shared-Services-196951.aspx
Genral Technician (Day/Night - Electrical/Plum)Ocean's Creek Beach Hotel,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Genral-Technician-Day-Night-Electrical-196955.aspx
Customs Operations SpecialistTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Customs-Operations-Specialist-196954.aspx
Pastry CookOcean's Creek Beach Hotel,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Pastry-Cook-196953.aspx
Corporate Administrator - Client ServicesBolt Talent Solutions (Pty) Ltd,Not disclosed,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Corporate-Administrator-Client-Services-196952.aspx
Shop AssistantPhydra,Not disclosed,18/08/2025,Mauritius,17/09/2025,https://www.myjob.mu/Jobs/Shop-Assistant-196950.aspx
Chef de partie - Main Kitchen (Hot)Ocean's Creek Beach Hotel,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Chef-de-partie-Main-Kitchen-196949.aspx
Driver/ Helper - Technical DepartmentTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Driver-Helper-Technical-Department-196947.aspx
Helper (Warehouse and Delivery)TheBrandHouse Ltd,Negotiable,18/08/2025,Port Louis,17/09/2025,https://www.myjob.mu/Jobs/Helper-Warehouse-and-Delivery-196946.aspx
Computer Repair TechnicianTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Computer-Repair-Technician-196945.aspx
Driver & Liaison OfficerTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Driver-Liaison-Officer-196944.aspx
Stock Controller (Service Centre)TheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Stock-Controller-Service-Centre-196943.aspx
Technician / Trainee Technician - Mobile PhoneTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Technician-Trainee-Technician-Mobile-Phone-196942.aspx
Technician / Trainee Technician - Consumer AppliancesTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Technician-Trainee-Technician-Consumer-Appliances-196941.aspx
Technician – Refrigeration and Air ConditioningTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Technician-Refrigeration-and-Air-Conditioning-196940.aspx
Stock AdministratorTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Stock-Administrator-196939.aspx
HVAC TechnicianTheBrandHouse Ltd,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/HVAC-Technician-196938.aspx
Gym AttendantOcean's Creek Beach Hotel,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Gym-Attendant-196937.aspx
Gym AttendantOcean's Creek Beach Hotel,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Gym-Attendant-196936.aspx
C​o​o​k​Ocean's Creek Beach Hotel,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Cook-196935.aspx
W​a​i​t​e​r​Ocean's Creek Beach Hotel,Negotiable,18/08/2025,Pamplemousses,17/09/2025,https://www.myjob.mu/Jobs/Waiter-196934.aspx
Procurement AssistantTeak World,Not disclosed,16/08/2025,Plaine Wilhems,15/09/2025,https://www.myjob.mu/Jobs/Procurement-Assistant-196933.aspx
Junior Investment AnalystMauritius Union Group,Not disclosed,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Junior-Investment-Analyst-196932.aspx
Liaison OfficerMauritius Union Group,Not disclosed,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Liaison-Officer-196931.aspx
Investment AnalystMauritius Union Group,Not disclosed,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Investment-Analyst-196930.aspx
Loans Administrative OfficerMauritius Union Group,Not disclosed,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Loans-Administrative-Officer-196929.aspx
Motor Claims Officer - Recovery & LegalMauritius Union Group,Not disclosed,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Motor-Claims-Officer-Recovery-Legal-196928.aspx
Receiving and Bulk Store ManagerM5 Capital,Not disclosed,16/08/2025,Plaine Wilhems,15/09/2025,https://www.myjob.mu/Jobs/Receiving-and-Bulk-Store-Manager-196927.aspx
Pharmacy ManagerCity Clinic Ltd,Negotiable,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Pharmacy-Manager-196926.aspx
Customer Service Specialist (French)Tropical Consulting Ltd,Negotiable,16/08/2025,Plaine Wilhems,15/09/2025,https://www.myjob.mu/Jobs/Customer-Service-Specialist-French-196925.aspx
Customer Service Agent - Rennel LimitedENL,Not disclosed,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Customer-Service-Agent-Rennel-Limited-196924.aspx
Logistics SupervisorHidden Company,Not disclosed,16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Logistics-Supervisor-196922.aspx
Assistant Production ManagerHidden Company,"51,000 - 75,000",16/08/2025,Port Louis,15/09/2025,https://www.myjob.mu/Jobs/Assistant-Production-Manager-196921.aspx
Commis SommelierOne&Only Le Saint Geran,"21,000 - 30,000",16/07/2025,Flacq,15/09/2025,https://www.myjob.mu/Jobs/Commis-Sommelier-195288.aspx
Comptable JuniorAtalian Interactive Ltd,"21,000 - 30,000",15/08/2025,Port Louis,14/09/2025,https://www.myjob.mu/Jobs/Comptable-Junior-196911.aspx
Night AuditorVeranda Tamarin Hotel,Negotiable,15/08/2025,Black River,14/09/2025,https://www.myjob.mu/Jobs/Night-Auditor-196909.aspx
Accounts ClerkTeak World,Not disclosed,15/08/2025,Plaine Wilhems,14/09/2025,https://www.myjob.mu/Jobs/Accounts-Clerk-196908.aspx
Chief CashierTeak World,Not disclosed,15/08/2025,Plaine Wilhems,14/09/2025,https://www.myjob.mu/Jobs/Chief-Cashier-196907.aspx
Enseignant(e) d’anglaisEcole (Maternelle et Primaire) Paul et Virginie,Not disclosed,15/08/2025,Savanne,14/09/2025,https://www.myjob.mu/Jobs/Enseignant-e-d-anglais-196905.aspx
