title,salary,date_posted,location,closing_date,days_open,posted_month,posted_year,closing_month,closing_year
snr software developershe recruits pty ltd,88000.0,2025-08-29,riviere du rempart,2025-09-10,12,8,2025,9,2025
gestionnaire en assurance auto moto habitationssd prestation ltd,25500.0,2025-08-29,plaine wilhems,2025-09-28,30,8,2025,9,2025
deputy money laundering reporting officershe recruits pty ltd,88000.0,2025-08-27,riviere du rempart,2025-09-26,30,8,2025,9,2025
pharmacy dispenser pereyberehidden company,15000.0,2025-08-29,pamplemousses,2025-09-28,30,8,2025,9,2025
gestionnaire de recouvrementrehuma,25500.0,2025-08-07,port louis,2025-09-06,30,8,2025,9,2025
charg e de relation clientrehuma,25500.0,2025-06-30,port louis,2025-09-15,77,6,2025,9,2025
p o r t e r one only le saint geran,25500.0,2025-08-28,flacq,2025-09-27,30,8,2025,9,2025
head waiterone only le saint geran,25500.0,2025-08-28,flacq,2025-09-27,30,8,2025,9,2025
kids entertainerone only le saint geran,15000.0,2025-08-28,flacq,2025-09-27,30,8,2025,9,2025
runner trolley personone only le saint geran,15000.0,2025-08-28,flacq,2025-09-27,30,8,2025,9,2025
public area cleanerone only le saint geran,15000.0,2025-08-28,flacq,2025-09-27,30,8,2025,9,2025
senior corporate administratorshe recruits pty ltd,63000.0,2025-08-27,riviere du rempart,2025-09-26,30,8,2025,9,2025
deputy money laundering officer complianceshe recruits pty ltd,88000.0,2025-08-27,riviere du rempart,2025-09-26,30,8,2025,9,2025
supervisor securityone only le saint geran,25500.0,2025-08-27,flacq,2025-09-26,30,8,2025,9,2025
accounts officerprinces tuna mauritius limited,35500.0,2025-08-27,mauritius,2025-09-26,30,8,2025,9,2025
p l u m b e r bishopston ltd,15000.0,2025-08-27,plaine wilhems,2025-09-26,30,8,2025,9,2025
import support clerk rennel limited enl,15000.0,2025-08-27,port louis,2025-09-26,30,8,2025,9,2025
junior engineer ref ppr alentaris recruitment ltd,35500.0,2025-08-04,port louis,2025-09-03,30,8,2025,9,2025
guest relation officermaritim resorts spa,25500.0,2025-08-27,pamplemousses,2025-09-08,12,8,2025,9,2025
reservation officer mhmml maritim resorts spa,25500.0,2025-08-27,pamplemousses,2025-09-08,12,8,2025,9,2025
